City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
131,antofagasta,-23.65,-70.4,63.68,64,21,7.43,CL,1639574155,few clouds
132,gold coast,-28.0,153.4333,71.01,86,0,1.01,AU,1639573904,clear sky
133,codrington,-38.2667,141.9667,52.65,85,0,5.26,AU,1639574155,clear sky
134,dudinka,69.4058,86.1778,-16.38,100,77,3.02,RU,1639574156,broken clouds
135,klaksvik,62.2266,-6.589,45.52,77,34,37.04,FO,1639574156,scattered clouds
136,caraballeda,10.6112,-66.8522,82.36,77,20,8.16,VE,1639574157,few clouds
137,omboue,-1.5746,9.2618,83.43,72,96,9.28,GA,1639574157,overcast clouds
138,tura,25.5198,90.2201,60.42,81,100,2.98,IN,1639574157,overcast clouds
139,durban,-29.8579,31.0292,91.92,80,15,5.01,ZA,1639573865,few clouds
140,carnarvon,-24.8667,113.6333,71.67,83,1,21.85,AU,1639574158,clear sky
141,bam,29.106,58.357,54.1,21,7,6.98,IR,1639574158,clear sky
142,sao filipe,14.8961,-24.4956,75.16,66,100,5.32,CV,1639574158,overcast clouds
143,edgemere,39.2421,-76.448,43.74,76,1,1.99,US,1639574159,clear sky
144,atuona,-9.8,-139.0333,76.55,78,60,12.03,PF,1639574159,light rain
145,port keats,-14.25,129.55,85.91,76,46,10.16,AU,1639573867,scattered clouds
146,ponta delgada,37.7333,-25.6667,63.5,67,20,5.75,PT,1639574159,few clouds
147,san francisco,37.7749,-122.4194,47.16,84,75,1.01,US,1639574024,broken clouds
148,port hardy,50.6996,-127.4199,42.8,81,90,26.46,CA,1639574160,overcast clouds
149,barrow,71.2906,-156.7887,-27.38,68,1,4.61,US,1639574160,clear sky
150,chuy,-33.6971,-53.4616,70.14,81,100,8.52,UY,1639574160,overcast clouds
151,cayenne,4.9333,-52.3333,83.08,85,75,3.0,GF,1639574161,broken clouds
152,katangli,51.7102,143.2326,-10.53,95,79,6.33,RU,1639574161,broken clouds
153,broken hill,-31.95,141.4333,75.18,39,83,11.74,AU,1639574161,broken clouds
154,ponta do sol,32.6667,-17.1,67.01,57,0,5.64,PT,1639574162,clear sky
155,nishihara,26.1842,127.7558,67.28,68,20,9.22,JP,1639574162,few clouds
156,havoysund,70.9963,24.6622,31.08,84,94,11.16,NO,1639574162,overcast clouds
157,bathsheba,13.2167,-59.5167,84.81,65,40,23.02,BB,1639574163,scattered clouds
158,tuktoyaktuk,69.4541,-133.0374,-7.2,94,100,6.64,CA,1639574163,overcast clouds
159,gasa,31.5,34.4667,66.88,48,0,12.12,PS,1639574163,clear sky
160,salinopolis,-0.6136,-47.3561,84.38,71,99,12.1,BR,1639574164,overcast clouds
161,luau,-10.7073,22.2247,81.45,58,100,5.82,AO,1639574164,overcast clouds
162,ishinomaki,38.4167,141.3,43.79,73,9,8.1,JP,1639574164,clear sky
163,butaritari,3.0707,172.7902,81.05,79,73,8.28,KI,1639574165,light rain
164,tuatapere,-46.1333,167.6833,52.83,87,100,4.07,NZ,1639574165,overcast clouds
165,ulladulla,-35.35,150.4667,67.77,94,100,3.24,AU,1639574165,overcast clouds
166,suclayin,15.7568,121.5503,72.39,90,100,2.8,PH,1639574166,overcast clouds
167,kanniyakumari,8.0833,77.5667,81.63,73,97,14.88,IN,1639574166,overcast clouds
168,vila,42.0304,-8.1588,53.33,42,6,2.66,PT,1639574166,clear sky
169,kontagora,10.3999,5.4695,97.5,9,100,2.26,NG,1639574166,overcast clouds
170,coihaique,-45.5752,-72.0662,57.81,54,20,3.44,CL,1639574167,few clouds
171,talas,38.6908,35.5538,50.67,50,75,3.44,TR,1639574167,broken clouds
172,mali,12.079,-12.2982,78.98,15,100,5.55,GN,1639574167,overcast clouds
173,san andres,12.5847,-81.7006,82.42,78,20,9.22,CO,1639574052,few clouds
174,hit,33.6416,42.8251,72.77,13,0,13.11,IQ,1639574168,clear sky
175,elk city,35.412,-99.4043,63.28,94,90,17.27,US,1639574168,overcast clouds
176,monrovia,6.3005,-10.7969,84.24,67,99,6.24,LR,1639574169,overcast clouds
177,owen sound,44.5672,-80.9435,40.89,78,100,1.99,CA,1639574106,overcast clouds
178,kudymkar,59.0173,54.656,9.55,98,100,4.05,RU,1639574169,overcast clouds
179,east london,-33.0153,27.9116,74.34,73,40,21.85,ZA,1639574169,scattered clouds
180,tottori,35.5,134.2333,48.85,77,50,8.66,JP,1639574170,scattered clouds
181,fairbanks,64.8378,-147.7164,-29.4,65,20,0.0,US,1639574071,few clouds
182,yatou,37.15,122.3833,41.67,58,100,2.89,CN,1639574170,overcast clouds
183,san patricio,28.017,-97.5169,73.89,95,100,10.09,US,1639574171,overcast clouds
184,kautokeino,69.0125,23.0412,16.84,98,100,7.92,NO,1639574171,overcast clouds
185,saskylakh,71.9167,114.0833,-27.54,99,39,5.97,RU,1639574171,scattered clouds
186,corinto,37.9407,22.9573,55.89,60,93,4.21,GR,1639574172,overcast clouds
187,lerwick,60.1545,-1.1494,50.0,74,84,29.33,GB,1639574172,broken clouds
188,tateyama,34.9833,139.8667,48.22,47,0,7.11,JP,1639574172,clear sky
189,adrar,20.5022,-10.0711,83.62,16,0,7.11,MR,1639574172,clear sky
190,mancio lima,-7.6142,-72.8958,81.97,70,19,3.42,BR,1639574173,few clouds
191,zhuanghe,39.7008,122.9911,36.27,47,100,6.98,CN,1639574173,overcast clouds
192,tasiilaq,65.6145,-37.6368,30.36,75,100,0.83,GL,1639574173,overcast clouds
193,beringovskiy,63.05,179.3167,17.76,94,100,23.4,RU,1639574174,light snow
194,the valley,18.217,-63.0578,82.26,69,20,17.27,AI,1639574174,few clouds
195,hvide sande,56.0045,8.1294,49.08,93,97,19.44,DK,1639574174,overcast clouds
196,ilhabela,-23.7781,-45.3581,81.23,78,100,4.23,BR,1639574175,overcast clouds
197,upernavik,72.7868,-56.1549,3.43,95,100,4.34,GL,1639574175,overcast clouds
198,malinovskiy,61.1953,62.8397,5.25,97,61,3.09,RU,1639574176,broken clouds
199,kruisfontein,-34.0033,24.7314,67.89,80,99,26.02,ZA,1639574176,light rain
200,minsk,53.9,27.5667,32.74,87,100,5.59,BY,1639574036,overcast clouds
201,la macarena,2.1837,-73.7849,80.82,66,100,7.02,CO,1639574169,overcast clouds
202,santiago,-33.4569,-70.6483,74.98,38,0,3.44,CL,1639574176,clear sky
203,la maddalena,41.2142,9.4083,62.76,65,35,3.53,IT,1639574177,scattered clouds
204,chizhou,30.6578,117.4831,57.11,67,100,2.95,CN,1639574177,overcast clouds
205,datong,40.0936,113.2914,29.93,45,23,13.35,CN,1639574159,few clouds
206,bandarbeyla,9.4942,50.8122,79.21,68,4,19.77,SO,1639574177,clear sky
207,villa union,23.2,-106.2333,62.56,94,40,0.0,MX,1639574178,scattered clouds
208,waipawa,-41.4122,175.5153,56.44,95,86,5.48,NZ,1639574178,overcast clouds
209,tucumcari,35.1717,-103.725,57.04,41,1,12.66,US,1639574178,clear sky
210,lavrentiya,65.5833,-171.0,-8.07,91,100,18.9,RU,1639574179,light snow
211,helena,46.5927,-112.0361,27.59,56,90,8.01,US,1639573892,overcast clouds
212,ascension,30.2169,-90.9001,66.27,95,90,3.44,US,1639574179,overcast clouds
213,pisco,-13.7,-76.2167,66.25,88,90,2.3,PE,1639574180,mist
214,ust-nera,64.5667,143.2,-23.58,99,99,4.25,RU,1639574180,overcast clouds
215,kenai,60.5544,-151.2583,0.14,84,90,5.75,US,1639574180,fog
216,les cayes,18.2,-73.75,78.57,73,0,3.15,HT,1639574180,clear sky
217,idah,7.1065,6.7342,100.2,24,66,1.52,NG,1639574181,broken clouds
218,dolinsk,47.35,142.8,12.06,84,31,4.25,RU,1639574181,scattered clouds
219,monte patria,-30.6919,-70.9467,72.36,40,0,5.19,CL,1639574156,clear sky
220,oktyabrskiy,54.4815,53.471,25.56,90,100,9.73,RU,1639574182,overcast clouds
221,swift current,50.2834,-107.8014,4.12,90,100,16.84,CA,1639574106,overcast clouds
222,victoria,22.2855,114.1577,73.45,83,100,1.01,HK,1639573926,overcast clouds
223,hermanus,-34.4187,19.2345,68.9,69,100,19.22,ZA,1639574182,light rain
224,sobolevo,54.4299,31.8996,30.76,94,97,5.32,RU,1639574182,overcast clouds
225,saint-georges,12.0564,-61.7485,83.88,70,40,23.02,GD,1639574183,scattered clouds
226,xining,36.6167,101.7667,24.04,33,70,3.87,CN,1639574183,broken clouds
227,hyeres,43.1167,6.1167,61.48,68,0,3.44,FR,1639574183,clear sky
228,katsuura,35.1333,140.3,48.31,57,2,5.79,JP,1639574184,clear sky
229,santa lucia,27.9117,-15.5407,60.76,55,75,8.05,ES,1639574184,broken clouds
230,empalme,27.9667,-110.8167,59.92,55,81,9.84,MX,1639574184,broken clouds
231,kedrovyy,56.1667,91.8167,-17.14,96,76,4.83,RU,1639574185,broken clouds
232,benguela,-12.5763,13.4055,81.5,73,97,8.3,AO,1639574185,overcast clouds
233,elat,29.5581,34.9482,69.64,37,0,9.22,IL,1639574185,haze
234,charlestown,-32.95,151.6667,74.21,85,100,1.01,AU,1639574186,overcast clouds
235,saint-francois,46.4154,3.9054,35.04,100,90,3.44,FR,1639574186,overcast clouds
236,tete,-16.1564,33.5867,87.89,42,75,16.11,MZ,1639574186,broken clouds
237,tiksi,71.6872,128.8694,-19.26,99,100,1.03,RU,1639574188,overcast clouds
238,kieta,-6.2167,155.6333,80.65,86,100,8.12,PG,1639574188,light rain
239,nikolskoye,59.7035,30.7861,34.39,93,100,9.08,RU,1639574188,overcast clouds
240,kamina,-8.7386,24.9906,79.29,67,29,3.18,CD,1639574189,light rain
241,fort nelson,58.8053,-122.7002,-31.41,75,40,2.3,CA,1639574189,scattered clouds
242,keuruu,62.2667,24.7,34.81,98,100,7.02,FI,1639574189,overcast clouds
243,cabo san lucas,22.8909,-109.9124,73.51,66,1,4.61,MX,1639573991,clear sky
244,jerusalem,31.769,35.2163,59.72,56,0,4.0,IL,1639574165,clear sky
245,jacareacanga,-6.2222,-57.7528,75.51,100,90,2.3,BR,1639574190,moderate rain
246,hirara,24.8,125.2833,71.87,70,0,19.86,JP,1639574190,clear sky
247,mana,5.6592,-53.7767,81.93,73,100,7.7,GF,1639574191,overcast clouds
248,high level,58.5169,-117.136,-14.69,84,90,3.44,CA,1639574191,overcast clouds
249,kertosono,-7.5833,112.1,76.82,92,100,6.69,ID,1639574191,light rain
250,faanui,-16.4833,-151.75,80.58,75,26,12.28,PF,1639574192,scattered clouds
251,palmas,-10.2128,-48.3603,80.47,78,40,3.44,BR,1639574192,scattered clouds
252,saldanha,-33.0117,17.9442,65.05,68,100,15.64,ZA,1639574192,overcast clouds
253,papillion,41.1544,-96.0422,60.93,78,1,11.99,US,1639574192,clear sky
254,leshukonskoye,64.8989,45.7622,23.99,95,100,8.03,RU,1639574193,light snow
255,talnakh,69.4865,88.3972,-16.8,99,100,6.71,RU,1639574193,overcast clouds
256,dvinskoy,62.1535,45.1175,23.49,94,100,7.99,RU,1639574193,overcast clouds
257,constitucion,-35.3333,-72.4167,64.04,48,8,2.73,CL,1639574192,clear sky
258,nador,35.174,-2.9287,62.67,77,75,11.5,MA,1639574194,broken clouds
259,kotido,2.9806,34.1331,86.18,29,98,13.87,UG,1639574194,overcast clouds
260,san pedro,14.35,121.0167,79.36,75,40,2.3,PH,1639574194,scattered clouds
261,lodja,-3.4833,23.4333,85.05,56,95,4.68,CD,1639574195,overcast clouds
262,rio grande,-32.035,-52.0986,69.91,94,100,15.86,BR,1639574195,overcast clouds
263,angoche,-16.2325,39.9086,86.23,65,100,20.0,MZ,1639574195,overcast clouds
264,zandvoort,52.3749,4.5341,53.02,78,75,12.66,NL,1639574196,broken clouds
265,kargasok,59.0556,80.8572,9.21,95,100,9.69,RU,1639574196,light snow
266,le port,-20.9373,55.2919,82.4,71,15,7.11,RE,1639574196,light rain
267,glomfjord,66.8167,13.9667,39.2,98,100,25.68,NO,1639574197,overcast clouds
268,port lincoln,-34.7333,135.8667,61.07,78,0,7.29,AU,1639574197,clear sky
269,xuanhua,40.6103,115.0447,32.38,42,3,7.09,CN,1639574197,clear sky
270,mayumba,-3.432,10.6554,80.87,80,72,7.31,GA,1639574197,broken clouds
271,vao,-22.6667,167.4833,75.42,63,3,6.4,NC,1639574198,clear sky
272,sabang,5.8933,95.3214,82.81,76,26,14.18,ID,1639574198,scattered clouds
273,tulagi,-9.0996,160.1476,82.78,77,100,11.59,SB,1639574198,moderate rain
274,saint-philippe,-21.3585,55.7679,81.99,79,36,13.85,RE,1639574199,light rain
275,kawalu,-7.3817,108.2082,74.97,93,93,2.46,ID,1639574199,overcast clouds
276,anchorage,61.2181,-149.9003,2.68,82,40,0.0,US,1639574024,mist
277,husavik,66.0449,-17.3389,33.71,79,92,10.85,IS,1639574199,overcast clouds
278,kajaani,64.2273,27.7285,30.25,93,90,10.36,FI,1639574200,light snow
279,uruzgan,32.8333,66.0,31.53,36,0,3.65,AF,1639574200,clear sky
280,amapa,1.0,-52.0,81.64,74,96,3.83,BR,1639574200,overcast clouds
281,gombong,-7.6072,109.5142,78.1,84,100,2.26,ID,1639574201,moderate rain
282,vengerovo,55.6848,76.7471,18.84,94,100,11.52,RU,1639574201,light snow
283,tautira,-17.7333,-149.15,77.02,80,73,11.72,PF,1639574201,light rain
284,souillac,-20.5167,57.5167,80.37,88,40,13.8,MU,1639574202,light rain
285,airai,-8.9266,125.4092,62.17,88,77,1.7,TL,1639574202,broken clouds
286,sohag,26.557,31.6948,67.15,32,0,14.52,EG,1639574202,clear sky
287,bilibino,68.0546,166.4372,-7.78,71,100,5.26,RU,1639574203,overcast clouds
288,kaitangata,-46.2817,169.8464,57.92,81,100,8.3,NZ,1639574203,light rain
289,lamu,-2.2717,40.902,84.42,71,80,11.63,KE,1639574203,light rain
290,bambanglipuro,-7.95,110.2833,66.6,83,98,2.57,ID,1639574203,heavy intensity rain
291,houma,29.5958,-90.7195,64.99,98,40,5.75,US,1639574098,mist
